Model,Accuracy,Precision,Precision Illicit,Recall,Recall Illicit,F1,F1 Illicit,ROC AUC,PR-AUC,Kappa,MCC
MLP,0.6326 (0.4882),0.7324 (0.4492),0.0015 (0.0008),0.6326 (0.4882),0.3688 (0.4869),0.6330 (0.4882),0.0022 (0.0008),0.5277 (0.1221),0.0007 (0.0002),0.0012 (0.0010),0.0011 (0.0013)
GCN,0.0946 (0.2615),0.7659 (0.4297),0.0006 (0.0001),0.0946 (0.2615),0.9094 (0.2583),0.1075 (0.2783),0.0013 (0.0001),0.4823 (0.0934),0.0009 (0.0002),0.0000 (0.0001),0.0007 (0.0009)
GAT,0.5601 (0.4927),0.9654 (0.1823),0.0008 (0.0010),0.5601 (0.4927),0.4381 (0.4947),0.5665 (0.4940),0.0011 (0.0003),0.5007 (0.1143),0.0010 (0.0012),-0.0000 (0.0004),-0.0003 (0.0009)
GIN,0.9794 (0.0234),0.9988 (0.0000),0.0017 (0.0005),0.9794 (0.0234),0.0458 (0.0531),0.9888 (0.0120),0.0025 (0.0004),0.5107 (0.0409),0.0008 (0.0002),0.0015 (0.0003),0.0038 (0.0028)
RF,0.9374 (0.0006),0.9992 (0.0000),0.0072 (0.0001),0.9374 (0.0006),0.7284 (0.0013),0.9671 (0.0003),0.0142 (0.0001),0.8617 (0.0006),0.0111 (0.0005),0.0130 (0.0001),N/A
SVM,0.9003 (0.0000),0.9981 (0.0000),0.0150 (0.0000),0.9003 (0.0000),0.8831 (0.0000),0.9459 (0.0000),0.0296 (0.0000),0.9096 (0.0000),0.0147 (0.0000),0.0263 (0.0000),N/A
XGB,0.9932 (0.0000),0.9975 (0.0000),0.1087 (0.0000),0.9932 (0.0000),0.4119 (0.0000),0.9952 (0.0000),0.1720 (0.0000),0.9145 (0.0000),0.0890 (0.0000),0.1697 (0.0000),N/A
