Model,accuracy,precision,precision_illicit,recall,recall_illicit,f1,f1_illicit,roc_auc,PRAUC,kappa
MLP,0.9380 (0.0460),0.9972 (0.0006),0.0286 (0.0699),0.9380 (0.0460),0.4590 (0.3304),0.9656 (0.0245),0.0274 (0.0119),0.8929 (0.0199),0.0187 (0.0125),0.0243 (0.0119)
GCN,0.9754 (0.0199),0.9970 (0.0003),0.0506 (0.0554),0.9754 (0.0199),0.3324 (0.1575),0.9858 (0.0104),0.0682 (0.0414),0.8541 (0.0502),0.0626 (0.0374),0.0653 (0.0420)
GAT,0.9837 (0.0199),0.9965 (0.0002),0.0195 (0.0164),0.9837 (0.0199),0.0868 (0.1172),0.9899 (0.0103),0.0158 (0.0098),0.8768 (0.0412),0.0104 (0.0017),0.0138 (0.0092)
GIN,0.9774 (0.0359),0.9967 (0.0005),0.0485 (0.0388),0.9774 (0.0359),0.1846 (0.2729),0.9865 (0.0190),0.0364 (0.0191),0.8490 (0.0613),0.0148 (0.0073),0.0344 (0.0193)
RF,0.9311 (0.0007),0.9979 (0.0000),0.0228 (0.0002),0.9311 (0.0007),0.8704 (0.0020),0.9626 (0.0004),0.0445 (0.0004),0.9403 (0.0004),0.0814 (0.0022),0.0410 (0.0004)
SVM,0.9461 (0.0000),0.9970 (0.0000),0.0140 (0.0000),0.9461 (0.0000),0.4077 (0.0000),0.9705 (0.0000),0.0271 (0.0000),0.9007 (0.0000),0.0132 (0.0000),0.0236 (0.0000)
XGB,0.9943 (0.0000),0.9970 (0.0000),0.1011 (0.0000),0.9943 (0.0000),0.2626 (0.0000),0.9956 (0.0000),0.1460 (0.0000),0.9208 (0.0000),0.0665 (0.0000),0.1437 (0.0000)
