Model,Accuracy,Precision,Precision Illicit,Recall,Recall Illicit,F1,F1 Illicit,ROC AUC,PR-AUC,Kappa,MCC
MLP,0.5989 (0.4964),0.7654 (0.4295),0.0014 (0.0008),0.5989 (0.4964),0.4024 (0.4951),0.5993 (0.4968),0.0021 (0.0008),0.4978 (0.1268),0.0007 (0.0002),0.0011 (0.0010),0.0009 (0.0015)
GCN,0.0292 (0.1259),0.6327 (0.4896),0.0006 (0.0001),0.0292 (0.1259),0.9786 (0.0938),0.0381 (0.1481),0.0013 (0.0001),0.5010 (0.0997),0.0009 (0.0002),0.0000 (0.0001),0.0007 (0.0017)
GAT,0.0009 (0.0005),0.5627 (0.5005),0.0006 (0.0000),0.0009 (0.0005),0.9994 (0.0009),0.0005 (0.0011),0.0012 (0.0000),0.5986 (0.0658),0.0010 (0.0002),-0.0000 (0.0000),-0.0007 (0.0014)
GIN,0.5576 (0.4336),0.7985 (0.4061),0.0008 (0.0003),0.5576 (0.4336),0.4537 (0.4225),0.5920 (0.4587),0.0015 (0.0005),0.4809 (0.0899),0.0007 (0.0001),0.0003 (0.0005),0.0010 (0.0031)
RF,0.9382 (0.0004),0.9992 (0.0000),0.0073 (0.0000),0.9382 (0.0004),0.7265 (0.0007),0.9675 (0.0002),0.0144 (0.0001),0.8609 (0.0004),0.0109 (0.0003),0.0132 (0.0001),N/A
SVM,0.9513 (0.0000),0.9989 (0.0000),0.0040 (0.0000),0.9513 (0.0000),0.3142 (0.0000),0.9745 (0.0000),0.0079 (0.0000),0.8336 (0.0000),0.0034 (0.0000),0.0067 (0.0000),N/A
XGB,0.9909 (0.0000),0.9989 (0.0000),0.0147 (0.0000),0.9909 (0.0000),0.2066 (0.0000),0.9948 (0.0000),0.0275 (0.0000),0.8309 (0.0000),0.0090 (0.0000),0.0264 (0.0000),N/A
