Model,accuracy,precision,precision_illicit,recall,recall_illicit,f1,f1_illicit,roc_auc,PRAUC,kappa
MLP,0.9586 (0.0295),0.9988 (0.0001),0.0043 (0.0006),0.9586 (0.0295),0.2621 (0.1967),0.9780 (0.0154),0.0081 (0.0017),0.7494 (0.0819),0.0033 (0.0014),0.0068 (0.0015)
GCN,0.9683 (0.0310),0.9988 (0.0001),0.0052 (0.0015),0.9683 (0.0310),0.2327 (0.2031),0.9830 (0.0164),0.0100 (0.0030),0.7390 (0.0777),0.0048 (0.0033),0.0088 (0.0028)
GAT,0.9322 (0.1791),0.9988 (0.0002),0.0054 (0.0016),0.9322 (0.1791),0.2691 (0.2458),0.9482 (0.1799),0.0098 (0.0025),0.7457 (0.0777),0.0077 (0.0069),0.0086 (0.0025)
GIN,0.9300 (0.0504),0.9989 (0.0002),0.0065 (0.0067),0.9300 (0.0504),0.4057 (0.3123),0.9624 (0.0270),0.0092 (0.0048),0.8338 (0.0265),0.0046 (0.0020),0.0080 (0.0050)
RF,0.9429 (0.0005),0.9991 (0.0000),0.0084 (0.0001),0.9429 (0.0005),0.7066 (0.0027),0.9699 (0.0003),0.0167 (0.0001),0.8756 (0.0011),0.0182 (0.0009),0.0153 (0.0001)
SVM,0.8925 (0.0000),0.9991 (0.0000),0.0045 (0.0000),0.8925 (0.0000),0.7100 (0.0000),0.9425 (0.0000),0.0090 (0.0000),0.8373 (0.0000),0.0044 (0.0000),0.0076 (0.0000)
XGB,0.9948 (0.0000),0.9987 (0.0000),0.0205 (0.0000),0.9948 (0.0000),0.1396 (0.0000),0.9968 (0.0000),0.0357 (0.0000),0.8110 (0.0000),0.0106 (0.0000),0.0346 (0.0000)
