Dataset,Model,Accuracy Mean,Accuracy Std,Accuracy Display,Precision Mean,Precision Std,Precision Display,Precision Illicit Mean,Precision Illicit Std,Precision Illicit Display,Recall Mean,Recall Std,Recall Display,Recall Illicit Mean,Recall Illicit Std,Recall Illicit Display,F1 Mean,F1 Std,F1 Display,F1 Illicit Mean,F1 Illicit Std,F1 Illicit Display,ROC AUC Mean,ROC AUC Std,ROC AUC Display,PR-AUC Mean,PR-AUC Std,PR-AUC Display,Kappa Mean,Kappa Std,Kappa Display,MCC Mean,MCC Std,MCC Display
Elliptic,RF,0.9703432601356998,0.0003929470535620583,0.9703 (0.0004),0.9677399998303587,0.0004651627695341401,0.9677 (0.0005),0.8124413303559265,0.008923569565050873,0.8124 (0.0089),0.9703432601356998,0.0003929470535620583,0.9703 (0.0004),0.566412213740458,0.003105634367728891,0.5664 (0.0031),0.9678221827216744,0.00036158914103311677,0.9678 (0.0004),0.667449059714414,0.0032542031610853445,0.6674 (0.0033),0.8724391988381713,0.003330747431162579,0.8724 (0.0033),0.6302679220835368,0.0015242172975521954,0.6303 (0.0015),0.6524451555439461,0.0034590265388977624,0.6524 (0.0035),,,N/A
Elliptic,SVM,0.857715832748421,4.516810283266961e-16,0.8577 (0.0000),0.9320801572859444,2.2584051416334807e-16,0.9321 (0.0000),0.19783929777177592,8.469019281125553e-17,0.1978 (0.0000),0.857715832748421,4.516810283266961e-16,0.8577 (0.0000),0.5591603053435114,2.2584051416334807e-16,0.5592 (0.0000),0.8878776022319681,2.2584051416334807e-16,0.8879 (0.0000),0.29226932668329175,1.1292025708167404e-16,0.2923 (0.0000),0.8188842633696852,5.646012854083701e-16,0.8189 (0.0000),0.1425986886024475,0.0,0.1426 (0.0000),0.2327120957925267,1.4115032135209253e-16,0.2327 (0.0000),,,N/A
Elliptic,XGB,0.9666098465857819,4.516810283266961e-16,0.9666 (0.0000),0.9640627267918186,5.646012854083701e-16,0.9641 (0.0000),0.7257683215130022,5.646012854083701e-16,0.7258 (0.0000),0.9666098465857819,4.516810283266961e-16,0.9666 (0.0000),0.5858778625954197,3.387607712450221e-16,0.5859 (0.0000),0.9649180256470375,2.2584051416334807e-16,0.9649 (0.0000),0.6483632523759237,0.0,0.6484 (0.0000),0.8933630441930523,5.646012854083701e-16,0.8934 (0.0000),0.6564369797706604,0.0,0.6564 (0.0000),0.6310452013397878,0.0,0.6310 (0.0000),,,N/A
IBM_AML_HiSmall,MLP,0.9379589226099475,0.04597815660149702,0.9380 (0.0460),0.9971783099969461,0.0005745023331886296,0.9972 (0.0006),0.02855692983156873,0.06989535788496223,0.0286 (0.0699),0.9379589226099475,0.04597815660149702,0.9380 (0.0460),0.4590038314176245,0.3303547157482923,0.4590 (0.3304),0.9656488192851048,0.024524253029540373,0.9656 (0.0245),0.027413526568947626,0.01187804030805545,0.0274 (0.0119),0.8928526610005231,0.01990472863834623,0.8929 (0.0199),0.01873815543949604,0.012463731993441762,0.0187 (0.0125),0.02426948504951183,0.011891793190886431,0.0243 (0.0119),0.06902143716100993,0.031923713239842014,0.0690 (0.0319)
IBM_AML_HiSmall,GCN,0.9754329038095534,0.019942317796687356,0.9754 (0.0199),0.9969986257714497,0.00025141388827056574,0.9970 (0.0003),0.05056624141749434,0.05537574787065232,0.0506 (0.0554),0.9754329038095534,0.019942317796687356,0.9754 (0.0199),0.3324460576729179,0.15749277502474815,0.3324 (0.1575),0.9857587347228229,0.010433642906766294,0.9858 (0.0104),0.068240547931308,0.041382510716883154,0.0682 (0.0414),0.8540941278135761,0.050248842056681384,0.8541 (0.0502),0.06260382669667403,0.03740092044244609,0.0626 (0.0374),0.06529372611916481,0.04195280472754668,0.0653 (0.0420),0.10295123985116793,0.03519299439111108,0.1030 (0.0352)
IBM_AML_HiSmall,GAT,0.9837256396427717,0.019885252738262978,0.9837 (0.0199),0.9964936116315025,0.00018392510600431333,0.9965 (0.0002),0.019540304380702825,0.016387648468292482,0.0195 (0.0164),0.9837256396427717,0.019885252738262978,0.9837 (0.0199),0.0867513611615245,0.11722794716953136,0.0868 (0.1172),0.98989540961891,0.010267590402699674,0.9899 (0.0103),0.01583567311646471,0.009794980247389628,0.0158 (0.0098),0.8768301611659977,0.04120778143462376,0.8768 (0.0412),0.010448690410703421,0.0016822670560590076,0.0104 (0.0017),0.013802469940694177,0.00919245812896968,0.0138 (0.0092),0.023514098629506926,0.01613425323280461,0.0235 (0.0161)
IBM_AML_HiSmall,GIN,0.9773940267817214,0.03594920233650526,0.9774 (0.0359),0.9967329442842914,0.0004601446528316368,0.9967 (0.0005),0.04845622777878107,0.038763130414906706,0.0485 (0.0388),0.9773940267817214,0.03594920233650526,0.9774 (0.0359),0.18457350272232306,0.2729393691450599,0.1846 (0.2729),0.9864667549036018,0.01901286471459293,0.9865 (0.0190),0.03642232559926507,0.019146830897182096,0.0364 (0.0191),0.8490215462024572,0.06127924750504621,0.8490 (0.0613),0.014771813433617354,0.007347541069816867,0.0148 (0.0073),0.0343928381517786,0.019329826808945877,0.0344 (0.0193),0.05353728763263859,0.027416868439039656,0.0535 (0.0274)
IBM_AML_HiSmall,RF,0.9310816020895271,0.0006913778594723081,0.9311 (0.0007),0.9979438796248309,3.7588101089144904e-06,0.9979 (0.0000),0.02281370130602706,0.00019869670472068594,0.0228 (0.0002),0.9310816020895271,0.0006913778594723081,0.9311 (0.0007),0.8704375882234322,0.0020288406372529497,0.8704 (0.0020),0.9625573078576297,0.00037141760052884814,0.9626 (0.0004),0.04446196908562732,0.00037609255732670157,0.0445 (0.0004),0.9403391323012414,0.0003645298503484079,0.9403 (0.0004),0.0813514585296313,0.002234414952488689,0.0814 (0.0022),0.04101944543372453,0.00037830714758608174,0.0410 (0.0004),,,N/A
IBM_AML_HiSmall,SVM,0.9461026399889464,5.646012854083701e-16,0.9461 (0.0000),0.9970333947571047,5.646012854083701e-16,0.9970 (0.0000),0.014022969374167782,8.821895084505783e-18,0.0140 (0.0000),0.9461026399889464,5.646012854083701e-16,0.9461 (0.0000),0.4077434966727161,2.8230064270418506e-16,0.4077 (0.0000),0.9705426454730635,0.0,0.9705 (0.0000),0.02711346219602952,1.7643790169011566e-17,0.0271 (0.0000),0.9007448278023182,6.775215424900442e-16,0.9007 (0.0000),0.013183613307774067,0.0,0.0132 (0.0000),0.023636260586455182,0.0,0.0236 (0.0000),,,N/A
IBM_AML_HiSmall,XGB,0.9943404930534817,0.0,0.9943 (0.0000),0.9969818929314554,5.646012854083701e-16,0.9970 (0.0000),0.1010712622263624,2.823006427041851e-17,0.1011 (0.0000),0.9943404930534817,0.0,0.9943 (0.0000),0.26255293405928615,5.646012854083702e-17,0.2626 (0.0000),0.995592979118224,4.516810283266961e-16,0.9956 (0.0000),0.14595594417353291,5.646012854083702e-17,0.1460 (0.0000),0.920763779443672,6.775215424900442e-16,0.9208 (0.0000),0.06654556095600128,0.0,0.0665 (0.0000),0.14367820320125632,8.469019281125553e-17,0.1437 (0.0000),,,N/A
