dataset,model,accuracy_cv,precision_cv,precision_illicit_cv,recall_cv,recall_illicit_cv,f1_cv,f1_illicit_cv,roc_auc_cv,PRAUC_cv,kappa_cv
AMLSim,MLP,40.42483122431556,18.887066478622124,200.18746022608616,40.42483122431556,77.18533495687228,32.06571328027147,287.25501305270933,22.358876772718137,91.2421749462781,297.56070524034783
AMLSim,GCN,0.029303760417642336,0.029306480787536237,0.42992351452524863,0.029303760417642336,131.44927878020803,0.0412086326244767,80.19443127906088,19.60106137072745,121.67350954003633,80.27489651640055
AMLSim,GAT,7.876279214669647e-05,7.880454492910649e-05,0.060678619629407266,7.876279214669647e-05,6.791017676620328e-14,7.872732425877243e-05,0.030326895473578565,0.0791352602061177,0.09310313331192838,0.03036643156609367
AMLSim,GIN,0.001485473873172445,0.001429754040987383,1.1932202010947996,0.001485473873172445,0.10853221555463836,0.0014712381337962882,0.5648697534991292,0.1069119783862742,3.799102247405194,0.5656240794463504
AMLSim,RF,0.317768590639025,0.002279756062877592,2.85153977266049,0.3177685906390253,2.027621768755686,0.16584792708511623,2.7991227730103074,0.03195226247341298,0.32169764701196224,3.141055345131407
AMLSim,SVM,4.5203459669492797e-14,3.390257398154783e-14,0.0,4.5203459669492797e-14,2.537304571774965e-14,3.3907686282767113e-14,0.0,2.4614533720185477e-14,0.0,1.834247274912081e-14
AMLSim,XGB,3.91787581943078e-14,4.523219407564129e-14,1.7347489562368934e-14,3.91787581943078e-14,4.578179988202653e-14,3.658212845769289e-14,8.763162359079048e-14,4.665363724553704e-14,0.0,0.0
Elliptic,MLP,2.326149620626958,0.7649832890146915,22.979874684143837,2.326149620626958,29.294018299161873,1.472804008551035,28.25345085740294,1.4553566308362684,17.671594703853437,30.161403500070893
Elliptic,GCN,3.331953330480744,0.9974189284174562,28.53416047158705,3.331953330480744,43.75898277024109,2.108076840463869,33.49705574132294,2.2150299305453953,26.10488806074831,37.013768718991884
Elliptic,GAT,22.080910482084086,1.2384681003528855,32.72768448021758,22.080910482084086,54.14373517157808,15.210625455786467,26.600837717653096,4.6936898838862335,16.69010870507718,48.66300108486125
Elliptic,GIN,5.219441653354759,0.5571367760417955,34.12021413963329,5.219441653354759,16.021872327027253,3.334566676329361,16.29730304895937,2.86183382681164,14.002661876112615,21.998945201293058
Elliptic,RF,0.040495675057000524,0.04806691566078507,1.098364796525246,0.040495675057000524,0.5482993290734295,0.03736111317641727,0.48755828084884,0.3817741609499138,0.24183640704947268,0.5301635715286993
Elliptic,SVM,5.2660917646739995e-14,2.4229730930111893e-14,4.2807568448283063e-14,5.2660917646739995e-14,4.038922505856465e-14,2.5435996312512528e-14,3.8635685230163214e-14,6.894762919060773e-14,0.0,6.065448419060022e-14
Elliptic,XGB,4.67283702852919e-14,5.856478730250622e-14,7.779359730545297e-14,4.67283702852919e-14,5.782105672064873e-14,2.340515029884616e-14,0.0,6.319953450932787e-14,0.0,0.0
IBM_AML_HiSmall,MLP,4.901937120397451,0.0576127987772206,244.7579564652474,4.901937120397451,71.97210418222394,2.5396658225809587,43.32912176833962,2.229340798070889,66.51525564341766,48.998951426559536
IBM_AML_HiSmall,GCN,2.0444581804450754,0.025217074705196175,109.51129907688578,2.0444581804450754,47.37393372241454,1.0584377839370644,60.64211377455444,5.88329089503461,59.742227298116745,64.25242855796036
IBM_AML_HiSmall,GAT,2.0214226342096837,0.018457228812855424,83.86588125247542,2.0214226342096837,135.13096002178196,1.0372399248373616,61.853892634381054,4.699630927365246,16.100267018493803,66.60009526169891
